name;title;purchase_date
Jamal Shepherd;Super Mario 64;1980-11-04
Dorian Gaines;Empire Earth III;1996-02-26
Stella Harris;A Pixel Story;1984-06-06
Olivia Rocha;Anno 2070;1913-04-18
Benedict Blair;Pool of Radiance: Ruins of Myth Drannor;1988-07-20
Warren Hunter;DiRT Rally;1953-10-16
Ezra Franklin;Worms W.M.D;2005-04-05
Violet Gordon;Dragon Ball: Advanced Adventure;1962-11-24
Yvonne Wells;Tom Clancy's Ghost Recon;1901-09-13
Stephanie Pacheco;Blitzkrieg: Rolling Thunder;2010-03-02
Pamela Harvey;Bit.Trip Beat;1995-06-11
Aimee Hopper;Looney Tunes: Duck Amuck;1985-11-10
Raphael Puckett;Colony Wars;2015-07-29
Clementine Singleton;Railway Empire: Switch Edition;1975-04-17
Dorothy Park;New Frontier Days: Founding Pioneers;1972-11-09
Nehru Garrett;Life is Strange 2;1909-02-13
Upton Marks;Archangel: Hellfire;1944-09-05
Maisie Ballard;Time Pilot;1976-04-24
Azalia Mckenzie;Call of Duty: Modern Warfare - Reflex Edition;1984-01-03
Elton Mack;Soldier of Fortune;1960-12-02
Jescie Kirkland;Castlevania: Harmony of Despair;1950-03-24
Marshall Ray;Slime-san;1957-05-15
Hayden Hunter;Fallout 2;1925-10-06
Alfreda Melton;DISTRAINT;1936-12-21
Nita Abbott;Fury Unleashed;1984-04-17
Paloma Kirkland;The Haunted: Hell's Reach;2003-04-19
Maia Fitzpatrick;Help Wanted: 50 Wacky Jobs;1927-03-17
Castor Anderson;NHL 2K10;1987-09-27
Olivia Love;Street Fighter X Mega Man;1963-03-23
Hakeem Walls;Deep Fighter: The Tsunami Offense;1929-11-20
Kylan Sosa;Hey! Pikmin;1922-03-21
Leilani Stein;Fallout 76;1954-08-07
Lara Strong;Disney Infinity 3.0 Edition;1970-01-16
Gage Gates;Mortal Kombat: Deadly Alliance;1993-01-06
Zenia Boyle;Aokana - Four Rhythms Across the Blue;1981-12-23
Echo Curtis;The Sims 4: Get to Work;1945-05-27
Nyssa Greene;Aggressive Inline;1911-05-29
Carter Bryan;The Disney Afternoon Collection;1914-09-07
Orson Weaver;High Heat Major League Baseball 2002;1953-02-02
Nyssa Greene;Polybius;1934-02-06
Ezekiel Rowe;Assassin's Creed Origins: The Hidden Ones;1921-01-05
Lara Strong;RPG Maker Fes;1918-09-25
Abel Downs;Mario & Sonic at the Rio 2016 Olympic Games;1929-05-06
Cameran Cain;NHL 2004;1981-04-13
Thor Vega;Galak-Z: Variant S;1902-05-04
Mariam Harrison;Borderlands: The Secret Armory of General Knoxx;1904-10-15
Kitra Knox;Megadimension Neptunia VII;2012-02-04
Jolie Baxter;Tropico 3;1902-12-05
Lev Kelley;Batman Begins;1903-04-02
Gareth Edwards;PixelJunk 4am;1910-06-28
Ocean Campbell;Spawn: Armageddon;1988-10-16
Ulysses Lott;Corvette;1963-08-16
Elton Mack;Ice Age;1952-09-18
Aladdin Buchanan;Die Hard: Nakatomi Plaza;1959-03-25
Isadora Collier;Traitor's Gate;1943-02-23
Emerald Pittman;Sparkle 2;1918-11-20
Dennis Lloyd;Madballs in Babo: Invasion;1997-12-04
Heather Durham;WWE SmackDown vs. Raw 2008;2012-09-09
Hu Mason;Total War: WARHAMMER II - Curse of the Vampire Coast;2015-06-12
Stone Witt;Dead Rising 2: Off the Record;1908-11-07
Benedict Blair;The Fast and the Furious;1935-06-12
Vanna Phillips;The Liar Princess and the Blind Prince;1984-01-12
Alexa Kane;Ready 2 Rumble Boxing: Round 2;1953-12-16
Serena James;Castlevania: Lament of Innocence;1977-11-29
Desiree Beach;Hot Shots Golf: World Invitational;1998-04-05
Inez Mcneil;Port Royale;1965-01-22
Ferris Willis;Mat Hoffman's Pro BMX 2;2010-06-22
Inez Mcneil;Prototype;1913-02-08
Vanna Morgan;RimWorld;1964-02-05
Mona Pearson;Disintegration;1916-04-17
Anastasia Caldwell;The Book of Unwritten Tales 2;1944-01-04
Gretchen Mcknight;Blood of the Werewolf;1934-01-30
Veda Melton;Call of Duty Classic;1981-12-30
Castor Anderson;H1Z1;2018-05-28
Mariam Harrison;Star Wars: Knights of the Old Republic;1998-04-18
Tad Albert;Plants vs. Zombies;1916-06-14
Lavinia Finch;One Piece: Unlimited Cruise SP 2;1954-04-27
Eaton Higgins;Shaun Palmer's Pro Snowboarder;2007-07-30
Castor Anderson;Depth;2012-06-05
Bernard Lyons;"Death end re;Quest";2000-03-01
Sean Collins;OutRun 2006: Coast 2 Coast;1990-04-17
Boris Hurst;GTR 2;2007-09-27
Barclay Terrell;Guitar Hero II;1975-12-26
Kathleen Puckett;NBA Live 08;1909-11-20
Holmes Fulton;Theatrhythm Final Fantasy;1950-01-24
Vanna Phillips;Skylanders Swap Force;2006-12-17
Ariana Stout;S.T.A.L.K.E.R.: Clear Sky;1997-12-01
Lacey Smith;Toy Stunt Bike;2017-12-19
Wilma Allison;Overcooked! 2: Surf 'n' Turf;1952-01-08
Dylan Hutchinson;Naruto: Clash of Ninja Revolution;1978-09-25
Ursa Martin;Pac-Man Fever;1900-06-13
Nyssa Greene;Trainz;1915-09-16
Reed Poole;NHL Hitz 20-03;1901-11-20
Elton Mack;Double Dragon IV;1925-05-22
Keane White;Drifting Lands;1957-12-29
Neve Anderson;Serial Cleaner;1906-01-10
Leslie Nicholson;The Caligula Effect: Overdose;1977-06-23
Cade Whitehead;Sniper: Ghost Warrior 3;2017-02-01
Ross Short;Patrician II: Quest for Power;1919-10-23
Alexa Kane;Irony Curtain: From Matryoshka with Love;1992-07-06
Jamal Shepherd;Age of Booty;2020-05-24
George Ferguson;MySims;1934-12-04
Denise Johnson;I-Ninja;1984-11-16
Jillian Ellis;AC/DC Live: Rock Band Track Pack;1938-04-08
Mona Pearson;Kinect Sports Rivals;1988-01-05
Meghan Bullock;Mike Tyson Boxing;1912-04-12
Tyrone Sharp;Ninja Assault;1984-01-24
Julian Coffey;Dustforce;1908-03-10
Mariam Harrison;CastleStorm;1965-08-21
Maite Chan;Brian Lara International Cricket 2007;1951-10-04
Todd Roberson;Art of Fighting Anthology;1947-05-18
Kylie Sellers;GRIP: Combat Racing;1940-09-25
Jarrod Vasquez;War Times;1906-02-26
Emily Price;MotoGP 20;1962-06-17
Shad Ayala;Virtua Fighter 5 Final Showdown;1949-02-17
Cameron Johnson;Dynasty Tactics 2;1932-09-24
Wylie Franco;Dark Sector;2017-10-27
Candice Jimenez;Guacamelee! Super Turbo Championship Edition;1935-03-10
Nathaniel Lowery;Game of Thrones;1935-03-30
Katelyn Lawrence;Creaks;2009-02-25
Lana Daugherty;Star Ocean: The Last Hope;1993-11-12
Avram Callahan;Reality Fighters;2018-11-12
Henry Osborne;Reus;1916-06-03
Glenna Benjamin;Tricky Towers;1960-09-12
Sophia Fletcher;Assetto Corsa Competizione;1915-08-18
Wylie Franco;Zoids Wild: Blast Unleashed;1991-05-22
Blaze Daniels;RayCrisis: Series Termination;1907-02-06
Paloma Kirkland;Crusader Kings II: The Old Gods;2010-09-05
Marny Maddox;RAGE;1947-07-30
Alfreda Melton;SWAT 4;1900-10-06
Maisie Ballard;Frantics;2013-02-18
Alfreda Melton;Eufloria;1905-06-18
Axel Wood;The Metronomicon: Slay the Dance Floor;1931-06-18
Hayden Hunter;Bit Boy!! Arcade;1907-11-27
Adria Bowers;The Sims 4;1959-09-24
Alan Cox;Shining Soul II;1958-03-07
Macaulay Burch;King's Bounty: The Legend;1925-12-07
Luke Strickland;The LEGO Movie 2 Videogame;1996-05-20
Paloma Miranda;Sublevel Zero Redux;1959-06-02
Nigel Carter;Duke Nukem Forever;1904-08-19
Xanthus Woodward;Daxter;1927-08-08
Madaline Montoya;Ninjamurai;1998-04-06
Justine Ingram;Shatter (2009);2017-09-17
Dawn Shelton;Medal of Honor: Airborne;2015-07-27
Evelyn Burch;Pac-Man vs.;1906-01-04
Ifeoma Bailey;Observer;1957-10-27
Ariana Stout;Dead to Rights;2012-03-13
Jelani Carter;Yakuza Kiwami;1988-02-04
Neve Anderson;NCAA Final Four 2003;1926-07-08
Lunea Chen;The Walking Dead: The Telltale Series - A New Frontier Episode 5: From The Gallows;2018-05-15
Finn Barrera;Atari Anniversary Edition;1956-02-01
Joy Harrington;Minecraft: Wii U Edition;1916-06-15
Jamal Shepherd;LEGO Harry Potter Collection;1976-06-30
Emery Hull;NASCAR Racing 2003 Season;1962-08-24
Gavin Downs;Castlevania: Lords of Shadow 2;2012-01-14
Rafael Stein;Spider-Man: Shattered Dimensions;1923-04-09
Stella Harris;Karaoke Revolution Volume 2;1964-01-26
Petra Glass;4x4 EVO 2;1948-12-10
Portia Mcmillan;World of Final Fantasy;1971-02-09
Clarke Davenport;Astro Duel Deluxe;1920-03-25
Mariam Harrison;Secret Weapons Over Normandy;1952-04-21
Madaline Montoya;Roundabout;2016-09-03
Leilani Stein;Mirror's Edge Catalyst;1971-06-14
Silas Fisher;VA-11 Hall-A: Cyberpunk Bartender Action;1937-11-26
Craig Mccarthy;Battleborn;1922-07-03
Demetria Webster;Bridge Constructor Portal;1907-07-11
Dustin Francis;Mugen Souls Z;1983-12-08
Jillian Ellis;Calling;1970-07-10
Ora Figueroa;The Shapeshifting Detective;1940-02-25
Ursa Martin;Fullmetal Alchemist 2: Curse of the Crimson Elixir;1966-10-03
Lee Dunlap;Medal of Honor Infiltrator;1992-09-01
Maisie Hodge;Neverending Nightmares;1983-09-03
Ifeoma Bailey;Divinity: Original Sin Enhanced Edition;1949-02-27
Fitzgerald Berg;Small Radios Big Televisions;1999-10-23
Linda Mays;Virtua Fighter 5 Final Showdown;1962-08-11
Honorato Olsen;Clive Barker's Jericho;2014-03-05
Genevieve Leon;Borderlands 3: Bounty of Blood;1984-11-28
Cassady Merritt;Tiger Woods PGA Tour 2005;1914-04-13
Kathleen Puckett;The Church in the Darkness;1915-08-20
Forrest Ford;Vectronom;1905-07-06
Heather Durham;NHL Eastside Hockey Manager 2005;1945-06-06
Ryder Wood;A Quiet Weekend in Capri;1940-03-17
Haley Duncan;Space Hulk: Deathwing;1994-06-22
Ronan Chase;Deponia Doomsday;2014-02-03
Kieran Nieves;Lords of Football;1900-05-08
Oren Harrington;Back to the Future: The Game - Episode IV: Double Visions;2010-05-18
Nehru Garrett;Never Alone;1934-06-03
Gage Gates;Battlefield 3: Back to Karkand;1911-04-28
Basil Beach;Ultra Street Fighter II: The Final Challengers;1972-07-11
Harriet Bush;Merchant Prince II;1930-02-27
Reese Wilcox;Zapper;1904-10-12
Reese Wilcox;NHL Hitz 20-03;1957-07-28
Serena James;Sam & Max: Save the World;1932-10-26
Blaze Shelton;Tomb Raider: Legend;1926-01-05
Genevieve Leon;Heroland;1942-04-08
Britanney Hardin;Pokemon Battle Revolution;1984-02-12
Jack Watkins;Rayman: Hoodlum's Revenge;1994-05-18
Blaze Shelton;Anomaly: Warzone Earth;1944-11-01
Nora Wright;Moco Moco Friends;1907-12-23
Keane Valdez;Comanche 4;1942-12-21
Samantha Landry;Super Bomberman R Online;2016-10-18
Abel Downs;Jurassic Park: The Game;1945-11-10
Leilani Burton;SteamWorld Dig 2;1945-04-19
Jamal Shepherd;Mario & Luigi: Bowser's Inside Story;1998-06-10
Isabella Schwartz;Geometry Wars: Galaxies;1972-04-16
Chadwick Daniel;Madden NFL 19;1951-08-17
Nita Abbott;Rainswept;2000-07-23
Veda Kelley;Ontamarama;2011-01-05
Quamar Roy;Atelier Rorona Plus: The Alchemist of Arland;1908-02-03
Axel Wood;Layers of Fear: Legacy;1915-04-04
Melissa Lopez;The Political Machine;2011-07-22
Karen Small;Street Fighter V: Arcade Edition;1933-08-27
Hakeem Walls;LEGO Rock Band;1995-12-05
Danielle Campbell;Smuggler's Run 2: Hostile Territory;1914-03-23
Emily Price;Namco Museum Battle Collection;1930-03-19
Devin Valentine;A Bastard's Tale;1900-02-03
Hanna Foster;Halo: Combat Evolved;1942-04-10
Odessa Travis;Hoshigami: Ruining Blue Earth;1984-10-03
Bernard Lyons;Sonic Rush Adventure;1942-11-16
Nita Abbott;Slender: The Arrival;1923-03-14
Benedict Blair;Mega Man Zero Collection;1929-06-11
Roth Bradshaw;Dark Souls II;2015-07-09
Keane White;The Outer Worlds;1931-07-03
Uta Hodge;Mass Effect 3;1950-04-19
Olivia Rocha;Retro City Rampage;1902-02-06
Abel Allison;Awesomenauts Assemble!;1901-08-16
Britanney Hardin;The Witcher 3: Wild Hunt - Hearts of Stone;1954-09-13
Brennan Black;MLB Power Pros;1994-08-18
Orla Perez;The Outer Worlds: Peril on Gorgon;1908-06-15
Maite Chan;Hail to the Chimp;1907-01-10
Jessamine York;SMITE;2009-01-14
Shad Ayala;Heavenly Sword;2001-09-18
Carlos Rose;GoldenEye: Rogue Agent;1916-01-28
Oscar Donovan;Stella Glow;1912-05-29
Stone Witt;Human: Fall Flat;1924-12-17
Warren Hunter;Child of Light;1994-06-15
Bruno Workman;Okami HD;1995-05-13
Bethany Mills;Mortal Kombat;1991-06-05
Bruno Workman;Skate;2017-04-08
Elliott Terry;Baroque;1984-11-24
Lana Daugherty;Delta Force: Black Hawk Down;1913-06-13
Kieran Nieves;Tiny Troopers;1989-07-21
Ulysses Hickman;Minecraft: Switch Edition;1999-12-19
Maisie Conner;Friday the 13th: Killer Puzzle;1955-07-11
Brennan Black;Casino Empire;1993-03-01
Buffy Wood;A Short Hike;1958-05-16
Gage Gates;Assassin's Creed Rogue Remastered;2002-02-14
Imogene Fuller;Charlie Murder;1982-12-16
Lee Bishop;The Technomancer;2014-11-16
Paloma Miranda;Rock Revolution;1980-05-06
Forrest Ford;The Technomancer;1928-06-24
Samantha Weaver;FIFA 07 Soccer;1911-06-04
Linda Mays;RoadKill;1984-07-21
Amaya Richardson;DOOM 3: BFG Edition;2002-11-27
Mona Pearson;F-Zero: Maximum Velocity;1952-04-17
Ralph Patton;Little Nightmares;2016-04-07
Cameron Mclaughlin;Dark Devotion;2020-05-13
Daphne Meyer;Bee Movie Game;1942-10-13
Nigel Carter;Kinectimals;1908-06-23
Meghan Bullock;Game of Thrones: A Telltale Games Series;1964-12-04
Colleen Mcintyre;Trivial Pursuit Unhinged;1995-02-25
Quemby Case;IGI 2: Covert Strike;1915-11-08
Lamar Mercado;MotoGP '06;2002-02-04
Jescie Kirkland;Einhander;1950-06-07
Raphael Meyers;Yo-kai Watch 2: Bony Spirits;1944-04-23
Faith Richard;Metroid Prime Pinball;1979-07-01
Emerson Jackson;Wasteland 2: Director's Cut;1940-11-27
Hayden Hamilton;Shovel Knight;1970-08-06
Neil Blackwell;Dance Dance Revolution Extreme;1928-07-24
Britanney Hardin;Time Crisis: Project Titan;1977-09-01
Kamal Talley;Asterix & Obelix XXL 2;1998-05-21
Olivia Burris;Arslan: The Warriors of Legend;1945-01-12
Callum Stevenson;Donkey Kong Country: Tropical Freeze;1954-12-07
Blaze Daniels;Fight Crab;1948-02-17
Candice Atkins;Fallout 3: Point Lookout;1965-10-31
Pamela Harvey;Dragon Ball Z for Kinect;1934-10-20
Adena Cabrera;FIFA Soccer 06;2004-07-07
Kevin Crosby;Super Exploding Zoo;1998-05-13
Rebecca Simon;Call of Duty: Warzone;1926-08-14
Ora Figueroa;Anarchy Online: Alien Invasion;1957-03-12
Hammett Mcguire;Brink;1917-09-07
Malcolm Hoover;For Honor;1966-05-12
Ferris Willis;Sonic Rush Adventure;2021-01-13
Akeem Vang;The Experiment;1938-06-21
Warren Hunter;Imperator: Rome;1928-09-18
Vernon Boyle;Yakuza 4;2006-01-20
Neve Hinton;The Dishwasher: Dead Samurai;1987-08-04
Connor Christian;The Lord of the Rings: Conquest;1942-08-01
Branden Collins;Dead or School;1930-11-28
Serena James;Hot Dog King A Fast Food Empire;1971-09-27
Luke Strickland;Felix the Reaper;1927-04-06
Alfonso Faulkner;Predator: Concrete Jungle;1962-07-01
Allistair Atkinson;NHL 2K10;1997-02-27
Imani Romero;Golf: Tee It Up!;1909-06-06
Lucius Parrish;Homefront;1917-11-14
Wesley Ayala;King Arthur II: The Role-Playing Wargame;1933-09-02
Violet Gordon;Dungeon Hunter: Alliance;1961-12-13
Curran Aguilar;Samurai Sword Destiny;1953-07-23
Ivana Morgan;Shiness: The Lightning Kingdom;1912-12-28
Griffith Weiss;Little Dragons Cafe;1976-09-07
Elliott Wilder;Job Simulator;1971-12-02
Joy Harrington;Tom Clancy's The Division 2: Warlords of New York;1954-07-10
Chaney Dillon;Style Savvy: Styling Star;1968-01-06
Yuri Kinney;Sonic Forces;1985-10-09
Ila Shepard;Gemini Wars;1990-10-09
Joy French;Batman: Rise of Sin Tzu;1988-10-22
Graham Mosley;Mutant Mudds: Super Challenge;1969-05-21
Glenna Benjamin;Assassin's Creed Valhalla;1924-12-20
Graham Mosley;Metal Slug 4 & 5;1955-03-03
Raphael Puckett;Speedball 2 HD;2021-10-23
Walter Nolan;Fire Emblem: Awakening;1921-08-28
Kirsten Cooper;Kakuto Chojin;2005-07-30
Lee Dunlap;Portal Knights;1996-07-30
Guinevere Flynn;Action Bass;1912-01-21
Neville Baxter;The Sims 3: Island Paradise;1961-04-07
Demetria Webster;Redout;1994-12-23
Portia Tillman;Xevious;2014-11-13
Brendan Vaughan;DJ Hero;1976-02-05
Vance Mendez;Kona;1999-06-16
Rylee Lloyd;Harvester;1930-08-24
Angelica George;Brutal Legend;1915-12-09
Jamal Shepherd;Deus Ex: The Fall;1945-07-13
Aquila Stark;Space Siege;1997-11-06
Raphael Puckett;Tales of the Abyss;1940-04-20
Linda Mays;Galaxy On Fire 2 Full HD;2014-11-11
Jonas Whitfield;Bloodstained: Curse of the Moon 2;1948-05-26
Brooke Manning;Mutant Mudds;1959-10-04
Ryder Wood;Gunpey DS;1937-06-25
Azalia Mckenzie;Pokemon Shuffle;1933-02-11
Faith Richard;MotorStorm RC;1984-06-25
Chadwick Daniel;Test Drive: Eve of Destruction;1990-01-09
Barry Allen;Animal Crossing: New Leaf;1969-12-19
Beck Adams;Condemned: Criminal Origins;2009-12-09
Branden Watts;SteamWorld Heist;1959-08-28
Bertha Morse;Relicta;2001-12-08
Lee Bishop;Prey;1941-05-13
Veda Kelley;Eragon;1976-12-01
Vanna Phillips;Dungeons & Dragons Heroes;1934-04-24
Ryder Wood;Ragnarok Odyssey ACE;1913-02-19
Aurelia Stephenson;Thrillville: Off the Rails;1983-11-29
Hoyt Goodman;Persona 4: Dancing All Night;1901-05-31
Zachary Palmer;Maximo: Ghosts to Glory;1951-12-12
Cade Whitehead;Contra;2004-10-30
Dorothy Park;PoPoLoCrois;1934-06-25
Ivory Browning;Gravel;1926-04-08
Tatyana Johnson;Gun;1964-05-24
Marsden Blevins;All-Star Baseball 2002;1945-07-18
Holmes Fulton;Heroes Chronicles: Conquest of the Underworld;1936-11-15
Brett Vinson;Lost Sea;1904-05-17
Guinevere Flynn;King Arthur: The Role-Playing Wargame;2008-10-08
Elliott Wilder;Nine Parchments;1905-12-25
Shaine Parsons;Phoenix Wright: Ace Attorney Trilogy;2019-01-08
Olivia Love;NFL Street 3;2022-09-09
Ivana Morgan;Nano Assault Neo;1930-08-28
Leilani Burton;The Sims: Castaway Stories;2009-05-15
Nathaniel Lowery;Mechstermination Force;1952-10-17
Elton Mack;Hammerin' Hero;1952-04-27
Reed Poole;Skate;2010-11-30
Maisie Hodge;Urban Empire;1925-10-06
Sean Collins;Rhythm Heaven;1939-09-03
Timon Stout;Sniper: Ghost Warrior;2007-10-05
Jackson Maddox;Sega Bass Fishing 2;1962-12-03
Thor Cooke;Blitz: The League;1990-06-12
Simon Cooke;Cartoon Network Racing;1969-05-21
Penelope Bolton;The UnderGarden;1998-10-30
Candice Atkins;Aven Colony;1903-11-09
Lee Bishop;Victor Vran: Overkill Edition;1970-08-15
Olivia Burris;Bloodstained: Curse of the Moon 2;1954-06-26
Denise Larsen;Frontlines: Fuel of War;2004-07-15
Kimberly Michael;Disney Infinity 2.0 Edition;1959-05-22
Jasper Woodard;Test Drive Unlimited;1951-05-13
Jessamine Ruiz;Rogue Trooper;1921-08-25
Howard Baird;Gabriel Knight: Sins of the Fathers 20th Anniversary Edition;1952-01-15
Quemby Case;Tony Hawk's Pro Skater 3;1981-07-25
Ifeoma Bailey;Unavowed;1913-01-13
Curran Aguilar;Shin Megami Tensei: Persona 3 Portable;2020-06-29
Thor Cooke;Inuyasha: Secret of the Divine Jewel;2013-11-22
Elmo Key;Super Swing Golf;1964-12-15
Graiden Garrison;BANG! Gunship Elite;1947-12-03
Neve Hinton;UEFA Euro 2012;1921-04-08
Nigel Carter;Assault Android Cactus;2010-04-11
Flynn French;Terraria;1941-03-20
Brendan Vaughan;Restaurant Empire II;1997-12-16
Aurelia Stephenson;Rune Factory: A Fantasy Harvest Moon;1950-06-28
Graiden Garrison;Sword of the Stars;1971-09-19
Montana Tillman;Slime Rancher;1949-01-26
James Irwin;Persona 4 Golden;1988-06-06
Stephanie Pacheco;Opoona;1976-08-03
Raphael Meyers;Warrior Kings: Battles;1964-10-29
Kamal Talley;Monster Hunter: World - Iceborne;2013-03-16
Olivia Rocha;FIFA Soccer 12;1944-05-10
Winter Hampton;Drawn to Life: The Next Chapter;1988-06-06
Todd Roberson;Bloodborne: The Old Hunters;1984-05-03
Luke Strickland;Betrayer;2020-01-15
Olivia Burris;Again: Interactive Crime Novel;1993-03-02
Daphne Powers;Aviary Attorney;1922-04-24
Amity Ortega;Gryphon Knight Epic;2014-08-14
Bruno Workman;Axiom Verge;1932-04-06
Barclay Terrell;Dragon's Dogma;1987-02-27
Buffy Sweet;Castle Crashers;1989-05-01
Brett Vinson;FIFA Soccer 2002;1918-12-05
Violet Gordon;Rayman Origins;1925-12-13
Daquan James;Sparkle 2;1911-05-23
Lunea Byers;The Three Stooges;2004-10-09
Elliott Wilder;DJ Hero;1994-04-08
Reed Poole;Hyrule Warriors;1970-07-13
Priscilla Cervantes;NHL 17;1980-09-23
Addison Valdez;Osmos;1931-08-21
Sandra Baxter;A Fold Apart;2001-07-01
Echo Curtis;Hulk;1969-11-30
Quamar Roy;Star Wars: The Old Republic;1909-06-26
Hayden Hunter;Wolfenstein: Youngblood;1946-10-16
Barclay Terrell;Saints Row: The Third;1953-12-02
Aimee Hopper;Nostalgia;1971-11-17
Vanna Morgan;James Patterson Women's Murder Club: Games of Passion;1967-07-21
Elliott Terry;The Testament of Sherlock Holmes;1952-01-29
Giselle Bullock;Hotel Giant 2;1957-03-31
Emerald Pittman;LEGO Star Wars II: The Original Trilogy;1932-03-13
Neville Baxter;Goat Simulator;1958-05-19
Heather Durham;Mega Man: Battle Chip Challenge;1966-09-10
Serena Palmer;Piczle Lines DX;1911-06-16
Finn Barrera;NEO Scavenger;2005-08-19
Plato Mckinney;Suikoden III;1904-03-03
Serena James;Jay and Silent Bob: Mall Brawl;1983-06-29
Adria Bowers;Shattered Union;1997-07-15
Lacey Brady;Guitar Hero: Warriors of Rock;1995-06-02
Malcolm Hoover;Urban Trial Tricky;1941-08-07
Sean Collins;One Piece: Pirate Warriors 4;1921-03-23
Nita Abbott;NASCAR Heat 4;1903-04-27
Stacey Hubbard;Destiny 2: Curse of Osiris;1925-08-02
Boris Galloway;Fist of the North Star: Ken's Rage 2;1941-01-12
Hoyt Goodman;The Room VR: A Dark Matter;1983-12-21
Chancellor Jennings;Vexx;1983-01-23
Ivana Morgan;Super Meat Boy;1955-09-18
Timon Stout;Inmost;1981-07-10
Samson Gibson;Masters of Anima;2014-09-16
Jessamine York;Army Men Advance;1983-04-25
Yasir Case;OlliOlli2: Welcome to Olliwood;1935-06-14
Drake Lynn;Parasite Eve II;1916-06-03
Orson Vincent;The Legend of Zelda: Breath of the Wild - The Champions' Ballad;2011-10-10
Leonard Sellers;F.E.A.R. 3;1933-11-08
Cally Owen;Disney's Hide and Sneak;1989-06-27
Cade Whitehead;Mechanic Master;1965-07-25
Jolie Baxter;EyePet & Friends;1950-08-02
Graham Mosley;SingStar '80s;1968-05-06
Keefe Morin;GoD Factory: Wingmen;1995-01-26
Ulysses Lott;Titan Quest: Immortal Throne;1998-11-19
Raja Mcdowell;Bionicle Heroes;1965-08-10
Xavier Hartman;Axiom Verge;1931-03-07
Cameron Johnson;Prince of Persia: Warrior Within;1950-07-01
Orson Vincent;Pokemon: Let's Go, Pikachu!;1997-06-26
Hammett Mcguire;Green Day: Rock Band;1985-03-08
Karly Kent;Portal 2;1909-02-06
Ivor Chambers;MX vs. ATV Supercross Encore;2001-12-08
Imani Romero;The Flame in the Flood;2021-08-14
Paloma Miranda;Mutant Mudds Deluxe;1903-09-10
Montana Tillman;Fade to Silence;1974-10-12
Jeanette Hodge;Ultimate Marvel vs. Capcom 3;2009-08-09
Pamela Harvey;The Metronomicon;2017-03-22
Deirdre Castaneda;Metal Gear Solid HD Collection;1979-11-18
Asher Burton;Way of the Samurai 2;1952-05-21
Clementine Singleton;NBA 2K14;2005-07-06
Mona Pearson;Bee Movie Game;1996-05-24
Todd Roberson;NASCAR Heat 2;2001-06-05
Cathleen Lewis;Create;2018-11-20
Plato Mckinney;Wulverblade;1906-05-26
Rafael Odom;Project CARS;1964-03-31
Colleen Mcintyre;Red Faction: Guerrilla;2018-04-08
Isabella Schwartz;Trials Rising;1926-10-09
Raymond Barnes;SSX On Tour;1923-05-03
Fitzgerald Berg;Dyad;2018-12-15
Ralph Patton;Pinball Hall of Fame - The Gottlieb Collection;1959-05-26
Barry Burnett;Tomb Raider: The Prophecy;2009-09-14
Leilani Burton;Life is Strange 2: Episode 1 - Roads;1941-04-18
Yoshi Buckley;Under Night In-Birth Exe:Late;2001-04-16
Ivory Browning;TMNT;1966-11-11
Clementine Singleton;CIMA: The Enemy;1929-04-06
Dawn Shelton;Lost in Shadow;2022-12-09
Shad Ayala;L.A. Noire;1949-11-07
Dexter Downs;Senran Kagura Shinovi Versus;1947-11-29
Charde Salinas;The Lord of the Rings Online: Shadows of Angmar;1950-04-28
Abra Hull;Sonic Adventure DX Director's Cut;2007-02-10
Carter Bryan;Samurai Warriors 2 Empires;1979-07-18
Orla Perez;ESPN Final Round Golf 2002;1973-01-10
Abra Hull;My Hero One's Justice 2;1922-12-04
Elton Mack;Madden NFL Arcade;1911-02-23
Keane Valdez;Still Life 2;1993-11-14
Jena Mclaughlin;Fahrenheit: Indigo Prophecy Remastered;1936-10-13
Joel Justice;Kirby Fighters 2;2004-10-01
Fitzgerald Berg;Outer Wilds;1968-11-27
Jack Watkins;One Piece: Pirate Warriors 3;1973-03-25
Veda Melton;G-Force;1902-07-23
Charity Sutton;The Council - Episode 1: The Mad Ones;2004-08-22
Daquan Ferrell;Brain Age 2: More Training in Minutes a Day;2001-11-11
Hector Stark;Dance Dance Revolution: Disney Channel Edition;1901-12-16
Lee Bishop;Journey to the Savage Planet;1989-01-29
Zenia Boyle;Assassin's Creed;2000-11-16
Mona Pearson;DJ Hero 2;1955-11-05
Aimee Hopper;Hyrule Warriors;1980-10-19
Clementine Singleton;I Am Bread;1945-10-01
Denise Larsen;Just Cause;2001-07-02
Nola Church;Alien Breed 3: Descent;1975-04-03
Desiree Heath;Eagle Eye Golf;1950-05-23
Ivory Browning;Phoenix Wright: Ace Attorney Trilogy;1929-05-01
Raymond Barnes;Tales of Symphonia: Dawn of the New World;1914-05-09
Adria Bowers;Gears Tactics;2009-07-02
Ciara Berger;Bejeweled Twist;1967-12-05
Emery Hull;Resident Evil: Operation Raccoon City;1950-07-28
Odessa Travis;God Eater 2: Rage Burst;2012-10-13
Carter Bryan;Paperboy;1959-12-05
Amy Harris;The Complex;1918-01-30
Ariana Stout;Joe Dever's Lone Wolf HD Remastered;2022-05-31
Cathleen Lewis;The Wardrobe;1920-09-02
Adena Cabrera;Burnout Revenge;1981-06-29
